acc,precision,recall,auroc,repeat
0.76600736,0.7617818,0.7819748,0.85303825,1
0.77070063,0.77093774,0.74739766,0.85715216,1
0.77967805,0.7854807,0.7849673,0.8602691,1
0.76123405,0.77376825,0.7428381,0.8464985,1
0.768947,0.7595773,0.779661,0.8512913,1
0.7753939,0.77689767,0.77998674,0.85553145,2
0.7566208,0.7423729,0.75988895,0.85116124,2
0.76022804,0.7647823,0.769281,0.8454023,2
0.7632461,0.7777778,0.7415057,0.84586287,2
0.76492286,0.7512987,0.7844068,0.8630445,2
0.76466644,0.7632094,0.7753479,0.8481146,3
0.7696949,0.73951715,0.8077724,0.8546734,3
0.77733064,0.78905207,0.77254903,0.85878575,3
0.7598927,0.7504786,0.78347766,0.84600496,3
0.767941,0.7504798,0.79525423,0.859035,3
0.7549447,0.7522698,0.768721,0.8407014,4
0.7569561,0.74520546,0.7550312,0.8455533,4
0.7635815,0.77372265,0.7620915,0.85354817,4
0.7562039,0.75697213,0.75949365,0.84586644,4
0.75016767,0.73101264,0.78305084,0.8425346,4
0.7636607,0.7593548,0.77998674,0.85027754,5
0.7609789,0.75889045,0.740458,0.8490479,5
0.76257545,0.7641388,0.77712417,0.845464,5
0.76391685,0.75269496,0.7908061,0.843269,5
0.76391685,0.7537854,0.77627116,0.84775656,5
0.76164937,0.78177965,0.7335984,0.8449493,6
0.758297,0.752809,0.74392784,0.8452196,6
0.76123405,0.77937156,0.7457516,0.84567356,6
0.7605634,0.7800712,0.7301799,0.844859,6
0.76123405,0.74376994,0.78915256,0.8514527,6
0.749581,0.7588315,0.7402253,0.8376262,7
0.7552799,0.75194895,0.73629427,0.84585434,7
0.76156944,0.75609756,0.79019606,0.8486154,7
0.75217974,0.7877644,0.6948701,0.838235,7
0.7548625,0.74734044,0.7620339,0.8463282,7
0.74689907,0.7470511,0.7554672,0.83425653,8
0.75226283,0.7387755,0.7536433,0.8391962,8
0.7562039,0.7605451,0.7660131,0.8446058,8
0.76760566,0.7931785,0.7281812,0.8579025,8
0.7736418,0.7717391,0.7701695,0.85581386,8
0.7670131,0.7579214,0.79257786,0.84587145,9
0.7552799,0.7297996,0.7834837,0.8446613,9
0.7605634,0.7680683,0.7640523,0.83907706,9
0.75452715,0.77483916,0.7221852,0.83697593,9
0.77062374,0.7822984,0.7430509,0.85533524,9
0.7562856,0.74936223,0.7786614,0.83638245,10
0.75997317,0.73311895,0.79111725,0.8463625,10
0.7652582,0.78980446,0.7392157,0.8530647,10
0.7575453,0.7586436,0.7601599,0.8416491,10
0.75217974,0.7343949,0.7816949,0.84472644,10
