acc,precision,recall,auroc,repeat
0.4941,0.0,0.0,0.4588,1
0.5169,0.0,0.0,0.455,1
0.4869,0.0,0.0,0.4323,1
0.5034,0.5034,1.0,0.4484,1
0.5054,0.0,0.0,0.4494,1
0.5059,0.5059,1.0,0.455,2
0.5169,0.0,0.0,0.4459,2
0.5131,0.5131,1.0,0.4546,2
0.4966,0.0,0.0,0.4663,2
0.4946,0.4946,1.0,0.4499,2
0.4941,0.0,0.0,0.4606,3
0.5169,0.0,0.0,0.4579,3
0.4517,0.4765,0.6967,0.4393,3
0.5034,0.5034,1.0,0.4481,3
0.4946,0.4946,1.0,0.455,3
0.5059,0.5059,1.0,0.447,4
0.4831,0.4831,1.0,0.4469,4
0.5131,0.5131,1.0,0.4293,4
0.5034,0.5034,1.0,0.4497,4
0.4946,0.4946,1.0,0.4466,4
0.5059,0.5059,1.0,0.4571,5
0.4841,0.4834,0.9896,0.4477,5
0.4869,0.0,0.0,0.4414,5
0.5034,0.5034,1.0,0.4485,5
0.5054,0.0,0.0,0.4468,5
0.5059,0.5059,1.0,0.4557,6
0.5169,0.0,0.0,0.4513,6
0.5131,0.5131,1.0,0.455,6
0.4966,0.0,0.0,0.4657,6
0.5054,0.0,0.0,0.4596,6
0.5059,0.5059,1.0,0.4515,7
0.5169,0.0,0.0,0.4577,7
0.5131,0.5131,1.0,0.4316,7
0.4966,0.0,0.0,0.4495,7
0.5074,0.5197,0.0536,0.4447,7
0.4941,0.0,0.0,0.4674,8
0.4633,0.4592,0.6253,0.4649,8
0.4869,0.0,0.0,0.4507,8
0.4966,0.0,0.0,0.4707,8
0.495,0.4948,1.0,0.4467,8
0.4941,0.0,0.0,0.4409,9
0.5169,0.0,0.0,0.4386,9
0.4869,0.0,0.0,0.4221,9
0.5034,0.5034,1.0,0.4422,9
0.4728,0.4429,0.2549,0.434,9
0.4945,0.6667,0.0013,0.4579,10
0.5169,0.0,0.0,0.4639,10
0.4869,0.0,0.0,0.4577,10
0.5034,0.5034,1.0,0.4529,10
0.4946,0.4946,1.0,0.4449,10
