acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.4597,1
0.5169,0.0,0.0,0.4569,1
0.4869,0.0,0.0,0.4367,1
0.4966,0.0,0.0,0.4489,1
0.505,0.4545,0.0034,0.4501,1
0.4941,0.0,0.0,0.445,2
0.5169,0.0,0.0,0.4491,2
0.4869,0.0,0.0,0.4539,2
0.4977,0.5005,0.9813,0.4607,2
0.5054,0.0,0.0,0.4493,2
0.5059,0.5059,1.0,0.4618,3
0.4831,0.4831,1.0,0.4576,3
0.5067,0.51,0.983,0.4442,3
0.5034,0.5034,1.0,0.4473,3
0.494,0.4943,0.9959,0.4502,3
0.5059,0.5059,1.0,0.4481,4
0.5169,0.0,0.0,0.4532,4
0.4869,0.0,0.0,0.4298,4
0.4966,0.0,0.0,0.4557,4
0.4946,0.4946,1.0,0.4473,4
0.4941,0.0,0.0,0.4545,5
0.4831,0.4831,1.0,0.446,5
0.4869,0.0,0.0,0.4526,5
0.4966,0.0,0.0,0.4525,5
0.5054,0.0,0.0,0.4446,5
0.5059,0.5059,1.0,0.4499,6
0.4831,0.4831,1.0,0.4556,6
0.4896,0.5556,0.0261,0.4515,6
0.5034,0.5034,1.0,0.4507,6
0.4946,0.4946,1.0,0.4573,6
0.5059,0.5059,1.0,0.4654,7
0.4831,0.4831,1.0,0.4568,7
0.5131,0.5131,1.0,0.437,7
0.4966,0.0,0.0,0.4444,7
0.5054,0.0,0.0,0.4468,7
0.5059,0.5059,1.0,0.462,8
0.4764,0.4793,0.9715,0.4597,8
0.5131,0.5131,1.0,0.4465,8
0.5034,0.5034,1.0,0.4786,8
0.5054,0.0,0.0,0.4473,8
0.5062,0.506,0.9993,0.4382,9
0.4831,0.4831,1.0,0.4427,9
0.4869,0.0,0.0,0.4266,9
0.4966,0.0,0.0,0.4409,9
0.4946,0.4946,1.0,0.4298,9
0.5059,0.5059,1.0,0.4628,10
0.5169,0.0,0.0,0.4596,10
0.5131,0.5131,1.0,0.4606,10
0.5034,0.5034,1.0,0.4579,10
0.5054,0.0,0.0,0.4443,10
