acc,precision,recall,auroc,repeat
0.7693597,0.7727575,0.7707091,0.84846216,1
0.763996,0.7324921,0.80569047,0.8498714,1
0.7736418,0.76405185,0.8084967,0.8570651,1
0.7585513,0.74421513,0.7928048,0.8439876,1
0.7538565,0.7468355,0.76,0.845253,1
0.7690245,0.77044857,0.7740225,0.8498795,2
0.7552799,0.74266213,0.7550312,0.8448623,2
0.7619048,0.7652005,0.7732026,0.8421334,2
0.75821596,0.75096524,0.7774817,0.8386779,2
0.76123405,0.7382886,0.80135596,0.8558402,2
0.75326854,0.7393189,0.7912525,0.84062314,3
0.768354,0.7441406,0.7931992,0.8503757,3
0.7699531,0.7743823,0.77843136,0.854089,3
0.7518444,0.76478773,0.73217857,0.8399977,3
0.76492286,0.74712646,0.79322034,0.85700923,3
0.7519276,0.7578806,0.7488403,0.84418094,4
0.75427425,0.7307692,0.777932,0.84516084,4
0.7605634,0.76390684,0.7718954,0.8489071,4
0.7555332,0.7629428,0.7461692,0.841542,4
0.7608987,0.76060194,0.7538983,0.84556407,4
0.763996,0.7732519,0.7548045,0.847917,5
0.7613141,0.7631769,0.73351836,0.844389,5
0.75821596,0.76594347,0.7614379,0.84471655,5
0.7471496,0.7740279,0.70286477,0.8342683,5
0.7541918,0.7727941,0.71254236,0.8416672,5
0.7572913,0.76502365,0.7508284,0.8402482,6
0.75226283,0.770416,0.6939625,0.8391751,6
0.7424547,0.7378277,0.77254903,0.83237696,6
0.7448021,0.7868217,0.6762158,0.8333148,6
0.7565392,0.7552829,0.75118643,0.8469256,6
0.7375126,0.77837425,0.6726309,0.830761,7
0.74153537,0.7537879,0.6904927,0.8372474,7
0.7528504,0.75898105,0.75947714,0.8422357,7
0.7340711,0.7757009,0.66355765,0.82507026,7
0.74983233,0.77060133,0.7037288,0.8346467,7
0.74555814,0.74038464,0.76540756,0.8295175,8
0.7425411,0.71950424,0.76544064,0.8364829,8
0.74547285,0.7585513,0.7392157,0.83622926,8
0.7427901,0.7840557,0.6748834,0.8384462,8
0.759222,0.7518297,0.7661017,0.84150577,8
0.73952395,0.72509223,0.7813121,0.8279511,9
0.7358364,0.7337151,0.7113116,0.8244724,9
0.7421194,0.72963184,0.79019606,0.8254423,9
0.73172367,0.7556528,0.6902065,0.8184562,9
0.7541918,0.7434383,0.7681356,0.83631146,9
0.7314784,0.7375839,0.7282969,0.8139485,10
0.7368421,0.7492401,0.6842471,0.81821406,10
0.73876595,0.7299449,0.779085,0.82325596,10
0.72937626,0.72300774,0.74950033,0.813168,10
0.73608315,0.7160804,0.7728813,0.8259672,10
