acc,precision,recall,auroc,repeat
0.77070063,0.77591974,0.768721,0.85362923,1
0.76164937,0.76034236,0.73976403,0.8556009,1
0.7723005,0.8007067,0.74052286,0.85995495,1
0.76391685,0.7873107,0.727515,0.8475673,1
0.7709591,0.7574772,0.7898305,0.85959715,1
0.7686892,0.79396987,0.7329357,0.85361457,2
0.7623198,0.7472973,0.7675226,0.85247177,2
0.75821596,0.769487,0.75490195,0.8481934,2
0.76022804,0.7740586,0.739507,0.84764314,2
0.767941,0.7735849,0.7505085,0.865475,2
0.7629903,0.7528373,0.7912525,0.84935206,3
0.77103585,0.7553908,0.777932,0.8580948,3
0.7746479,0.8029661,0.74313724,0.85948026,3
0.7642522,0.7805907,0.739507,0.8523474,3
0.7739772,0.77006066,0.7742373,0.8630844,3
0.7629903,0.7843972,0.7329357,0.8520371,4
0.7700302,0.7518346,0.7820958,0.855095,4
0.7709591,0.797193,0.7424837,0.8577878,4
0.7702884,0.7829404,0.7521652,0.8509967,4
0.7598927,0.7619048,0.7484746,0.85033286,4
0.7633255,0.7813595,0.73889995,0.8522306,5
0.763996,0.7611623,0.74531573,0.8536164,5
0.76022804,0.78006876,0.74183005,0.84988904,5
0.76257545,0.76380575,0.76482344,0.84669006,5
0.76492286,0.7657967,0.7559322,0.85120237,5
0.75930274,0.78029764,0.72962224,0.84925854,6
0.7663426,0.7780269,0.722415,0.85219634,6
0.76391685,0.7880056,0.7385621,0.84759915,6
0.759222,0.7830803,0.721519,0.8500932,6
0.77967805,0.7884344,0.7579661,0.86163825,6
0.75427425,0.7709497,0.73161036,0.8500222,7
0.75997317,0.75261325,0.74947953,0.84546304,7
0.76391685,0.7706422,0.76862746,0.8506689,7
0.76156944,0.775838,0.7401732,0.8451123,7
0.7652582,0.7616475,0.7647458,0.8492459,7
0.75159234,0.7509804,0.7614314,0.83833927,8
0.75762653,0.74656594,0.75433725,0.8452052,8
0.75687456,0.7635887,0.7620915,0.85154283,8
0.78101945,0.7936288,0.76349103,0.860659,8
0.78001344,0.7873684,0.760678,0.862428,8
0.76466644,0.7555415,0.7905898,0.84580016,9
0.7552799,0.7552046,0.7300486,0.8461325,9
0.759222,0.7572877,0.78104573,0.8470782,9
0.7575453,0.7686464,0.7415057,0.8442065,9
0.7763246,0.7885714,0.7484746,0.85798097,9
0.75293326,0.74871135,0.7700464,0.83837885,10
0.7723768,0.7733142,0.7480916,0.8537631,10
0.7699531,0.78983516,0.751634,0.85727596,10
0.7541918,0.77195466,0.7261825,0.8413925,10
0.767941,0.7514451,0.79322034,0.85251653,10
