acc,precision,recall,auroc,repeat
0.4941,0.0,0.0,0.4638,1
0.4831,0.4831,1.0,0.4515,1
0.5114,0.5123,0.9928,0.4373,1
0.4966,0.0,0.0,0.4584,1
0.4842,0.4888,0.9329,0.4518,1
0.5059,0.5059,1.0,0.4617,2
0.4831,0.4831,1.0,0.4422,2
0.4869,0.0,0.0,0.4611,2
0.4966,0.0,0.0,0.4559,2
0.5054,0.0,0.0,0.4506,2
0.5025,0.5042,0.9894,0.454,3
0.5169,0.0,0.0,0.456,3
0.5131,0.5131,1.0,0.4463,3
0.5034,0.5034,1.0,0.4504,3
0.4946,0.4946,1.0,0.4502,3
0.5059,0.5059,1.0,0.4495,4
0.5169,0.0,0.0,0.4549,4
0.4869,0.0,0.0,0.4268,4
0.4966,0.0,0.0,0.4486,4
0.4946,0.4946,1.0,0.4509,4
0.4941,0.0,0.0,0.4548,5
0.5169,0.0,0.0,0.4464,5
0.4869,0.0,0.0,0.4513,5
0.4966,0.0,0.0,0.4504,5
0.4631,0.4402,0.3146,0.4429,5
0.5059,0.5059,1.0,0.4507,6
0.4831,0.4831,1.0,0.4521,6
0.5131,0.5131,1.0,0.4471,6
0.4966,0.0,0.0,0.4589,6
0.5054,0.0,0.0,0.4596,6
0.4851,0.4948,0.8516,0.4567,7
0.5169,0.0,0.0,0.4514,7
0.4869,0.0,0.0,0.433,7
0.4873,0.4255,0.0533,0.4493,7
0.4946,0.4946,1.0,0.4463,7
0.5059,0.5059,1.0,0.4622,8
0.4827,0.4828,0.9958,0.4604,8
0.5131,0.5131,1.0,0.4508,8
0.4966,0.0,0.0,0.4799,8
0.4946,0.4946,1.0,0.4438,8
0.5059,0.5059,1.0,0.4368,9
0.4831,0.4831,1.0,0.4497,9
0.4869,0.0,0.0,0.4219,9
0.5034,0.5034,1.0,0.4459,9
0.4561,0.4419,0.379,0.4329,9
0.5052,0.5055,0.9967,0.4613,10
0.4831,0.4831,1.0,0.4603,10
0.4869,0.0,0.0,0.4511,10
0.5034,0.5034,1.0,0.4492,10
0.5054,0.0,0.0,0.4433,10
