acc,precision,recall,auroc,repeat
0.7043,0.7167,0.6872,0.7826,1
0.7023,0.6943,0.6856,0.7791,1
0.6579,0.6607,0.6589,0.7276,1
0.6956,0.6707,0.7266,0.7814,1
0.6797,0.6926,0.6758,0.7561,1
0.6983,0.7037,0.6972,0.7709,2
0.7104,0.7027,0.694,0.7849,2
0.7093,0.7349,0.6778,0.7842,2
0.6496,0.6557,0.6396,0.7141,2
0.6973,0.718,0.6614,0.7804,2
0.6956,0.6883,0.6759,0.7791,3
0.6834,0.7068,0.6342,0.767,3
0.6764,0.6952,0.6575,0.7439,3
0.6869,0.6992,0.6687,0.7607,3
0.6913,0.7082,0.6627,0.7752,3
0.7039,0.7213,0.6709,0.7761,4
0.6985,0.7152,0.6488,0.7854,4
0.699,0.7126,0.6786,0.778,4
0.6942,0.7004,0.7059,0.7846,4
0.7113,0.7055,0.7146,0.7962,4
0.7094,0.6906,0.7217,0.7933,5
0.7056,0.7212,0.6948,0.7955,5
0.7032,0.7112,0.6909,0.7744,5
0.7023,0.7158,0.6826,0.7778,5
0.7097,0.7052,0.6856,0.7926,5
0.7133,0.7264,0.7078,0.7913,6
0.7082,0.7311,0.6649,0.786,6
0.716,0.7193,0.6983,0.7995,6
