acc,precision,recall,auroc,repeat
0.7157,0.7229,0.7104,0.7918,1
0.7003,0.6829,0.7085,0.7819,1
0.6965,0.6909,0.7392,0.7835,1
0.7072,0.6945,0.7468,0.7792,1
0.7086,0.702,0.7139,0.7885,1
0.7127,0.7043,0.7449,0.7956,2
0.7026,0.6693,0.7599,0.7902,2
0.6854,0.693,0.6948,0.7607,2
0.7019,0.7059,0.6989,0.782,2
0.7156,0.7021,0.7383,0.7927,2
0.7013,0.7146,0.6819,0.7709,3
0.6956,0.666,0.7418,0.775,3
0.6881,0.7003,0.6856,0.7642,3
0.6751,0.6602,0.7302,0.7503,3
0.4946,0.4946,1.0,0.4908,3
0.6909,0.6786,0.7389,0.7557,4
0.6654,0.6342,0.7266,0.7447,4
0.4809,0.4237,0.0327,0.4463,4
0.4946,0.4946,1.0,0.4991,4
0.4941,0.0,0.0,0.5028,4
0.4869,0.0,0.0,0.4846,5
0.6744,0.68,0.6669,0.7455,5
0.4938,0.0,0.0,0.5033,5
0.4831,0.4831,1.0,0.5093,5
0.5278,0.5468,0.466,0.5496,5
0.6832,0.6743,0.723,0.7457,6
0.5169,0.5,0.0007,0.4784,6
0.4802,0.4841,0.1987,0.4531,6
0.6382,0.6157,0.7482,0.7013,6
0.4946,0.4946,1.0,0.499,6
0.4941,0.0,0.0,0.5042,7
0.651,0.6311,0.6683,0.7232,7
0.4966,0.0,0.0,0.4946,7
0.5067,0.8333,0.0034,0.4495,7
0.4941,0.0,0.0,0.4939,7
0.4869,0.0,0.0,0.5172,8
0.4966,0.0,0.0,0.4946,8
0.5054,0.0,0.0,0.5183,8
0.6765,0.6641,0.7296,0.7474,8
0.5169,0.0,0.0,0.5011,8
0.5131,0.5131,1.0,0.4831,9
0.6512,0.6371,0.7135,0.7178,9
0.5054,0.0,0.0,0.5046,9
