acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.4589,1
0.5169,0.0,0.0,0.4761,1
0.5131,0.5131,1.0,0.476,1
0.5034,0.5034,1.0,0.4752,1
0.5054,0.0,0.0,0.4576,1
0.4941,0.0,0.0,0.4535,2
0.4831,0.4831,1.0,0.478,2
0.5131,0.5131,1.0,0.472,2
0.4966,0.0,0.0,0.4621,2
0.5054,0.0,0.0,0.4635,2
0.5059,0.5059,1.0,0.4781,3
0.5169,0.0,0.0,0.4845,3
0.5131,0.5131,1.0,0.4571,3
0.5034,0.5034,1.0,0.4591,3
0.4946,0.4946,1.0,0.4762,3
0.4941,0.0,0.0,0.4756,4
0.4831,0.4831,1.0,0.4735,4
0.4869,0.0,0.0,0.4329,4
0.5034,0.5034,1.0,0.4572,4
0.4946,0.4946,1.0,0.458,4
0.4941,0.0,0.0,0.4676,5
0.4831,0.4831,1.0,0.4847,5
0.4869,0.0,0.0,0.4526,5
0.4966,0.0,0.0,0.4537,5
0.5054,0.0,0.0,0.4502,5
0.5059,0.5059,1.0,0.4626,6
0.4831,0.4831,1.0,0.4673,6
0.4869,0.0,0.0,0.4725,6
0.4966,0.0,0.0,0.465,6
0.4946,0.4946,1.0,0.4675,6
0.4941,0.0,0.0,0.4693,7
0.5169,0.0,0.0,0.4766,7
0.4869,0.0,0.0,0.447,7
0.5034,0.5034,1.0,0.4498,7
0.4946,0.4946,1.0,0.4656,7
0.5059,0.5059,1.0,0.4737,8
0.4831,0.4831,1.0,0.4691,8
0.4869,0.0,0.0,0.468,8
0.5034,0.5034,1.0,0.4706,8
0.4946,0.4946,1.0,0.4751,8
0.4941,0.0,0.0,0.4477,9
0.4831,0.4831,1.0,0.4657,9
0.5131,0.5131,1.0,0.435,9
0.5034,0.5034,1.0,0.4662,9
0.5054,0.0,0.0,0.453,9
0.5059,0.5059,1.0,0.4753,10
0.4831,0.4831,1.0,0.4756,10
0.4869,0.0,0.0,0.4573,10
0.4966,0.0,0.0,0.472,10
0.5054,0.0,0.0,0.4472,10
