acc,precision,recall,auroc,repeat
0.70331883,0.7074468,0.70510274,0.7813919,1
0.6952732,0.69359535,0.6613463,0.773041,1
0.7105969,0.71446943,0.7261438,0.78768766,1
0.695171,0.7072829,0.67288476,0.7703093,1
0.7105969,0.70647776,0.7098305,0.798674,1
0.6989608,0.71054447,0.6832339,0.77979887,2
0.713711,0.6981769,0.71755725,0.78805566,2
0.6985245,0.71047366,0.6960784,0.77675056,2
0.6931589,0.7271318,0.62491673,0.78188884,2
0.7116029,0.7116311,0.70101696,0.78773725,2
0.7063359,0.7134187,0.7011266,0.7896886,3
0.70298356,0.698356,0.6780014,0.78422225,3
0.7149564,0.73383766,0.6973856,0.79729474,3
0.6904762,0.6990358,0.6762158,0.7757673,3
0.7069081,0.6967911,0.7213559,0.7901805,3
0.71538717,0.72633743,0.70178926,0.7907647,4
0.7006369,0.6863946,0.7002082,0.7842568,4
0.7209926,0.738388,0.70653594,0.8047051,4
0.6884641,0.6919463,0.6868754,0.76853466,4
0.70523137,0.70272106,0.70033896,0.792696,4
0.7244385,0.7360825,0.70974153,0.8036375,5
0.7267851,0.7258297,0.6981263,0.803718,5
0.7149564,0.74390244,0.67777777,0.8011055,5
0.7129443,0.7335264,0.6748834,0.7904004,5
0.7082495,0.7099237,0.69355935,0.79121685,5
0.7120349,0.7178284,0.70974153,0.78892094,6
0.71941,0.71207863,0.703678,0.79982674,6
0.7149564,0.72727275,0.7111111,0.7903197,6
0.722334,0.73547935,0.70019984,0.79890764,6
0.713615,0.70852923,0.71525425,0.7981827,6
0.7060007,0.73303837,0.65871435,0.7934637,7
0.7073416,0.698324,0.6939625,0.7886375,7
0.70422536,0.7106632,0.7143791,0.790314,7
0.71529174,0.72893256,0.691539,0.78463286,7
0.71763915,0.7205575,0.70101696,0.79893446,7
0.69594365,0.7181159,0.6567263,0.77917004,8
0.7060007,0.69775593,0.6904927,0.788613,8
0.7186452,0.7265574,0.724183,0.801306,8
0.7169685,0.7324841,0.6895403,0.8078904,8
0.7287056,0.71318823,0.7552542,0.8017844,8
0.7130406,0.7310687,0.6845593,0.7930571,9
0.709353,0.6839744,0.740458,0.7907968,9
0.71428573,0.7296748,0.70392156,0.8004384,9
0.71529174,0.72990125,0.6895403,0.7908455,9
0.71093225,0.71783936,0.6847458,0.7953166,9
0.704995,0.70952696,0.7057654,0.7897012,10
0.7177338,0.70305085,0.7196391,0.79729676,10
0.7250168,0.73355263,0.72875816,0.8024453,10
0.71227366,0.7182621,0.7048634,0.79588693,10
0.72568744,0.7276507,0.7118644,0.8052213,10
