acc,precision,recall,auroc,repeat
0.4941,0.0,0.0,0.5024,1
0.4831,0.4831,1.0,0.5023,1
0.4869,0.0,0.0,0.5046,1
0.5034,0.5034,1.0,0.498,1
0.5054,0.0,0.0,0.502,1
0.4941,0.0,0.0,0.5,2
0.5169,0.0,0.0,0.5,2
0.4869,0.0,0.0,0.5,2
0.4966,0.0,0.0,0.5,2
0.4946,0.4946,1.0,0.502,2
0.4941,0.0,0.0,0.5154,3
0.4831,0.4831,1.0,0.5,3
0.5131,0.5131,1.0,0.5,3
0.4966,0.0,0.0,0.5106,3
0.5054,0.0,0.0,0.5,3
0.4941,0.0,0.0,0.5024,4
0.5169,0.0,0.0,0.4985,4
0.5131,0.5131,1.0,0.5,4
0.4966,0.0,0.0,0.498,4
0.4946,0.4946,1.0,0.5038,4
0.4941,0.0,0.0,0.5143,5
0.5169,0.0,0.0,0.5,5
0.4869,0.0,0.0,0.5021,5
0.5034,0.5034,1.0,0.5,5
0.4946,0.4946,1.0,0.4825,5
0.4941,0.0,0.0,0.5,6
0.4831,0.4831,1.0,0.5,6
0.5131,0.5131,1.0,0.5,6
0.4966,0.0,0.0,0.5,6
0.4946,0.4946,1.0,0.5,6
0.5059,0.5059,1.0,0.5211,7
0.5169,0.0,0.0,0.5,7
0.4869,0.0,0.0,0.5152,7
0.5034,0.5034,1.0,0.4824,7
0.5054,0.0,0.0,0.4922,7
0.4941,0.0,0.0,0.4896,8
0.5169,0.0,0.0,0.5,8
0.4869,0.0,0.0,0.5,8
0.5034,0.5034,1.0,0.4709,8
0.4946,0.4946,1.0,0.4965,8
0.4941,0.0,0.0,0.5,9
0.5169,0.0,0.0,0.4993,9
0.5131,0.5131,1.0,0.4972,9
0.5034,0.5034,1.0,0.5,9
0.5054,0.0,0.0,0.4903,9
0.4941,0.0,0.0,0.4976,10
0.4831,0.4831,1.0,0.5,10
0.5131,0.5131,1.0,0.5,10
0.4966,0.0,0.0,0.5,10
0.4946,0.4946,1.0,0.5,10
