acc,precision,recall,auroc,repeat
0.7686892,0.7768763,0.7614314,0.8476655,1
0.7690245,0.7470434,0.7890354,0.8536383,1
0.7769953,0.7795734,0.7882353,0.8526585,1
0.7572099,0.773399,0.73217857,0.84442735,1
0.759222,0.74787164,0.7742373,0.84715647,1
0.7572913,0.7501593,0.77998674,0.84732264,2
0.7489105,0.76291794,0.69673836,0.8416811,2
0.7421194,0.7911247,0.675817,0.8358892,2
0.73306507,0.7764706,0.6595603,0.82999223,2
0.75687456,0.7709538,0.7233898,0.85032964,2
0.7435468,0.77678573,0.69184893,0.8358791,3
0.7368421,0.761563,0.6627342,0.8266291,3
0.74882627,0.8091845,0.6679739,0.83777434,3
0.7236754,0.7385483,0.6982012,0.8166111,3
0.7565392,0.7380801,0.7871187,0.83670264,3
0.7244385,0.7285429,0.72564614,0.8090354,4
0.7264499,0.722737,0.703678,0.8116704,4
0.7303823,0.7649635,0.68496734,0.8115057,4
0.70523137,0.71243167,0.6948701,0.7948714,4
0.71093225,0.7089298,0.70508474,0.79829204,4
0.7127053,0.7242091,0.6978131,0.7932318,5
0.7103587,0.720061,0.65510064,0.79797316,5
0.7015426,0.7105263,0.7058824,0.79570997,5
0.7055667,0.7336834,0.6515656,0.78557914,5
0.7173038,0.6847953,0.7938983,0.80034393,5
0.69661415,0.71664274,0.66202784,0.7777179,6
0.7173986,0.6832108,0.77376825,0.7941053,6
0.70858485,0.68896514,0.7875817,0.79122937,6
0.6827632,0.72469634,0.59626913,0.75053203,6
0.6884641,0.7061933,0.6338983,0.77620435,6
0.66107947,0.72472924,0.5321405,0.7353287,7
0.67214215,0.6892886,0.5850104,0.75393426,7
0.6656606,0.7126895,0.5836601,0.74608475,7
0.674715,0.70955014,0.59893405,0.730685,7
0.6542589,0.7122371,0.50508475,0.7039726,7
0.6751592,0.732358,0.56394964,0.7462473,8
0.6694603,0.6812749,0.59333795,0.7386244,8
0.67069083,0.7490909,0.5385621,0.7479528,8
0.67840374,0.7308348,0.5716189,0.76616466,8
0.67035544,0.7074199,0.56881356,0.72168857,8
0.6443178,0.6830065,0.55400926,0.7163291,9
0.6577271,0.6888489,0.5315753,0.71270627,9
0.68075114,0.64744896,0.82941175,0.7404392,9
0.67840374,0.6476035,0.7921386,0.75337374,9
0.6921529,0.65243566,0.80813557,0.7596511,9
0.6168287,0.68083006,0.45659378,0.66894925,10
0.65102243,0.68939394,0.50520474,0.7040844,10
0.6780684,0.63834953,0.8594771,0.736817,10
0.649564,0.705036,0.5223185,0.70471674,10
0.6492287,0.6813187,0.54644066,0.69411373,10
