acc,precision,recall,auroc,repeat
0.5131,0.5131,1.0,0.5,1
0.4946,0.4946,1.0,0.4993,1
0.4941,0.0,0.0,0.5024,1
0.4831,0.4831,1.0,0.4977,1
0.5131,0.5131,1.0,0.5006,1
0.5034,0.5034,1.0,0.498,2
0.5054,0.0,0.0,0.5,2
0.4941,0.0,0.0,0.5,2
0.4817,0.4824,0.9972,0.5206,2
0.4869,0.0,0.0,0.504,2
0.5034,0.5034,1.0,0.498,3
0.4946,0.4946,1.0,0.5,3
0.4941,0.0,0.0,0.4976,3
0.4831,0.4831,1.0,0.4977,3
0.4869,0.0,0.0,0.5,3
0.5034,0.5034,1.0,0.502,4
0.5054,0.0,0.0,0.5092,4
0.4941,0.0,0.0,0.5024,4
0.4831,0.4831,1.0,0.5023,4
0.4869,0.0,0.0,0.504,4
0.4966,0.0,0.0,0.498,5
0.5054,0.0,0.0,0.5,5
0.5059,0.5059,1.0,0.4976,5
0.5169,0.0,0.0,0.5,5
0.5131,0.5131,1.0,0.5,5
0.4966,0.0,0.0,0.5,6
0.4946,0.4946,1.0,0.5,6
0.5059,0.5059,1.0,0.5024,6
0.4831,0.4831,1.0,0.5,6
0.4869,0.0,0.0,0.5,6
0.5034,0.5034,1.0,0.502,7
0.4946,0.4946,1.0,0.5,7
0.4941,0.0,0.0,0.5,7
0.4831,0.4831,1.0,0.4977,7
0.5131,0.5131,1.0,0.5,7
0.4966,0.0,0.0,0.498,8
0.4946,0.4946,1.0,0.5005,8
0.5059,0.5059,1.0,0.5,8
0.5169,0.0,0.0,0.5,8
0.5131,0.5131,1.0,0.5021,8
0.4966,0.0,0.0,0.5,9
0.4946,0.4946,1.0,0.502,9
0.4941,0.0,0.0,0.4976,9
0.4831,0.4831,1.0,0.4977,9
0.4869,0.0,0.0,0.5,9
0.5034,0.5034,1.0,0.5,10
0.4946,0.4946,1.0,0.5,10
