acc,precision,recall,auroc,repeat
0.7633255,0.7572069,0.7833002,0.84997547,1
0.7680188,0.7481776,0.7834837,0.8509095,1
0.7790074,0.7747634,0.8026144,0.8577411,1
0.75452715,0.7444374,0.78014654,0.84031844,1
0.7619048,0.7469335,0.7844068,0.8471236,1
0.75963795,0.76364845,0.760106,0.85069096,2
0.7408649,0.7171652,0.76544064,0.8404782,2
0.75888664,0.7701532,0.75555557,0.8447442,2
0.7585513,0.7601599,0.7601599,0.8398315,2
0.7578806,0.74950296,0.76677966,0.8517585,2
0.7572913,0.7896679,0.70907885,0.84047747,3
0.76600736,0.7581654,0.7571131,0.84958136,3
0.7635815,0.7870564,0.7392157,0.850803,3
0.7414487,0.7637283,0.7041972,0.8345537,3
0.75821596,0.75716233,0.7525424,0.8499891,3
0.749581,0.7864662,0.6931743,0.8358312,4
0.7321488,0.72137934,0.7258848,0.8282114,4
0.7451375,0.7943425,0.67908496,0.8337832,4
0.7401073,0.77837425,0.6762158,0.8239542,4
0.7377599,0.7568569,0.6922034,0.8251648,4
0.7311431,0.7477225,0.7070908,0.82191384,5
0.72779083,0.7384382,0.6759195,0.81763506,5
0.7243461,0.764574,0.66862744,0.8215841,5
0.72837025,0.71446306,0.7668221,0.80573654,5
0.7129443,0.70429045,0.7233898,0.79582226,5
0.72008044,0.7641066,0.6461233,0.81118,6
0.71572244,0.73438734,0.64469117,0.8096603,6
0.7347418,0.71520096,0.8026144,0.8095858,6
0.7173038,0.7586478,0.64290476,0.801344,6
0.71596247,0.7353823,0.6650847,0.8026376,6
0.6996312,0.7388932,0.62823063,0.7841587,7
0.6939323,0.6964286,0.64954895,0.7734145,7
0.69382966,0.7514262,0.6026144,0.78510123,7
0.68879944,0.74015087,0.5882745,0.76132226,7
0.66867876,0.72442394,0.5328814,0.74741894,7
0.68957424,0.7352704,0.60371107,0.7608391,8
0.6868924,0.7062653,0.6023595,0.7693891,8
0.67672706,0.64235413,0.8346405,0.7557869,8
0.6931589,0.72608024,0.6269154,0.7740955,8
0.67840374,0.7118227,0.5877966,0.75676644,8
0.69125044,0.7370968,0.6056991,0.77467394,9
0.6865572,0.708402,0.5968078,0.75406796,9
0.71898055,0.7059524,0.7751634,0.7831559,9
0.69483566,0.6624519,0.80279815,0.774155,9
0.70523137,0.6778043,0.7701695,0.77315265,9
0.66711366,0.7205128,0.5586481,0.7387786,10
0.7066711,0.6582774,0.8167939,0.7845354,10
0.65560025,0.72042066,0.5372549,0.74626255,10
0.6519115,0.72324014,0.4996669,0.73099744,10
0.64755195,0.684669,0.5328814,0.7331004,10
