acc,precision,recall,auroc,repeat
0.4941,0.0,0.0,0.4614,1
0.4831,0.4831,1.0,0.4536,1
0.4869,0.0,0.0,0.4328,1
0.5034,0.5034,1.0,0.4512,1
0.5054,0.0,0.0,0.4486,1
0.4941,0.0,0.0,0.4496,2
0.4831,0.4831,1.0,0.4438,2
0.4869,0.0,0.0,0.4504,2
0.5034,0.5034,1.0,0.4643,2
0.4946,0.4946,1.0,0.4494,2
0.4941,0.0,0.0,0.4558,3
0.4831,0.4831,1.0,0.455,3
0.4869,0.0,0.0,0.4461,3
0.5034,0.5034,1.0,0.449,3
0.4946,0.4946,1.0,0.4491,3
0.5059,0.5059,1.0,0.4511,4
0.4831,0.4831,1.0,0.4496,4
0.5131,0.5131,1.0,0.4289,4
0.5034,0.5034,1.0,0.4501,4
0.4946,0.4946,1.0,0.4417,4
0.4941,0.0,0.0,0.4585,5
0.5169,0.0,0.0,0.4423,5
0.4869,0.0,0.0,0.4514,5
0.503,0.5032,0.9993,0.4539,5
0.4946,0.4946,1.0,0.4457,5
0.4941,0.0,0.0,0.4526,6
0.4831,0.4831,1.0,0.4551,6
0.5131,0.5131,1.0,0.4486,6
0.5034,0.5034,1.0,0.4544,6
0.4946,0.4946,1.0,0.459,6
0.4941,0.0,0.0,0.4568,7
0.4831,0.4831,1.0,0.458,7
0.5131,0.5131,1.0,0.4313,7
0.4966,0.0,0.0,0.4463,7
0.4946,0.4946,1.0,0.4512,7
0.4941,0.0,0.0,0.4639,8
0.4831,0.4831,1.0,0.4592,8
0.5131,0.5131,1.0,0.442,8
0.5034,0.5034,1.0,0.4697,8
0.4946,0.4946,1.0,0.4472,8
0.5059,0.5059,1.0,0.4368,9
0.4831,0.4831,1.0,0.4387,9
0.5131,0.5131,1.0,0.4254,9
0.4966,0.0,0.0,0.4365,9
0.5054,0.0,0.0,0.4305,9
0.4941,0.0,0.0,0.4591,10
0.4831,0.4831,1.0,0.4564,10
0.4869,0.0,0.0,0.4535,10
0.5034,0.5034,1.0,0.4501,10
0.4946,0.4946,1.0,0.4461,10
