acc,precision,recall,auroc,repeat
0.7207509,0.73504865,0.7004639,0.7900789,1
0.7190748,0.7066484,0.7154754,0.79281867,1
0.7008719,0.7118194,0.7006536,0.78797805,1
0.69148225,0.70735186,0.6602265,0.77261704,1
0.70858485,0.7098338,0.69491524,0.79191005,1
0.7073416,0.71780825,0.6944997,0.7892613,2
0.7056654,0.7009279,0.6814712,0.7832371,2
0.7008719,0.7164179,0.6901961,0.77909756,2
0.6971831,0.7099719,0.67355096,0.7761992,2
0.7082495,0.70934254,0.69491524,0.7901436,2
0.71002346,0.72454673,0.68853545,0.78770137,3
0.709353,0.7113402,0.6703678,0.7826543,3
0.7236754,0.74344826,0.7045752,0.8017411,3
0.6945003,0.7208084,0.6415723,0.7783125,3
0.70858485,0.71428573,0.6847458,0.7963762,3
0.7123701,0.7218814,0.70178926,0.789611,4
0.70465976,0.6971831,0.6870229,0.7879877,4
0.72132796,0.73377925,0.71699345,0.79789853,4
0.7035547,0.7201999,0.6722185,0.783062,4
0.7032193,0.6985195,0.7037288,0.7927921,4
0.7116996,0.7218045,0.6998012,0.7913876,5
0.7143815,0.70666665,0.6988203,0.79743135,5
0.7162978,0.7552239,0.6614379,0.79867256,5
0.7065728,0.72846717,0.66489005,0.7849946,5
0.7092555,0.71870506,0.6772881,0.7938814,5
0.6989608,0.7177477,0.6673294,0.78048354,6
0.7190748,0.7124736,0.70159614,0.79681504,6
0.6965124,0.7093101,0.69215685,0.7833637,6
0.7102616,0.7257264,0.6822119,0.7919426,6
0.70992625,0.7055256,0.7098305,0.79536086,6
0.71572244,0.7252897,0.70510274,0.796329,7
0.72242707,0.71846044,0.6995142,0.7963121,7
0.7156271,0.72672874,0.7143791,0.79725194,7
0.70959085,0.7092947,0.7168554,0.7818724,7
0.7092555,0.7238586,0.66644067,0.7969267,7
0.7006369,0.7118294,0.6858847,0.7814153,8
0.699296,0.68941504,0.6870229,0.78414863,8
0.6971831,0.7190776,0.672549,0.78751755,8
0.71428573,0.7224126,0.7021985,0.8025296,8
0.71428573,0.7137955,0.70508474,0.7978795,8
0.7076768,0.7283154,0.6732936,0.7919979,9
0.71471673,0.7057183,0.70229006,0.79754317,9
0.70959085,0.7341326,0.68039215,0.7960293,9
0.7082495,0.7284576,0.67021984,0.7837361,9
0.722334,0.7241857,0.7084746,0.8023418,9
0.7070064,0.7155465,0.69847584,0.7917695,10
0.7123701,0.7071784,0.6904927,0.78918433,10
0.7240107,0.7399864,0.7124183,0.804218,10
0.71663314,0.71983916,0.715523,0.79162645,10
0.7156271,0.7119675,0.7138983,0.80218863,10
