acc,precision,recall,auroc,repeat
0.4941,0.0,0.0,0.5,1
0.4831,0.4831,1.0,0.5,1
0.4869,0.0,0.0,0.4979,1
0.5034,0.5034,1.0,0.4983,1
0.5054,0.0,0.0,0.5,1
0.4938,0.3333,0.0007,0.502,2
0.5169,0.0,0.0,0.4991,2
0.5131,0.5131,1.0,0.5021,2
0.5034,0.5034,1.0,0.5,2
0.4946,0.4946,1.0,0.498,2
0.4941,0.0,0.0,0.5,3
0.4831,0.4831,1.0,0.5,3
0.4869,0.0,0.0,0.5021,3
0.4966,0.0,0.0,0.5,3
0.4946,0.4946,1.0,0.5,3
0.4941,0.0,0.0,0.5024,4
0.4831,0.4831,1.0,0.5,4
0.5131,0.5131,1.0,0.5,4
0.4966,0.0,0.0,0.5,4
0.5054,0.0,0.0,0.498,4
0.4941,0.0,0.0,0.5,5
0.5169,0.0,0.0,0.5,5
0.5131,0.5131,1.0,0.5,5
0.4966,0.0,0.0,0.502,5
0.4946,0.4946,1.0,0.498,5
0.4941,0.0,0.0,0.4976,6
0.4831,0.4831,1.0,0.4977,6
0.5131,0.5131,1.0,0.4979,6
0.5034,0.5034,1.0,0.498,6
0.5054,0.0,0.0,0.502,6
0.5059,0.5059,1.0,0.5,7
0.4831,0.4831,1.0,0.4977,7
0.4869,0.0,0.0,0.5,7
0.5034,0.5034,1.0,0.498,7
0.4946,0.4946,1.0,0.502,7
0.4941,0.0,0.0,0.5024,8
0.4831,0.4831,1.0,0.5,8
0.4869,0.0,0.0,0.5,8
0.4966,0.0,0.0,0.5,8
0.5054,0.0,0.0,0.5,8
0.5059,0.5059,1.0,0.5,9
0.4831,0.4831,1.0,0.5,9
0.5131,0.5131,1.0,0.5021,9
0.4966,0.0,0.0,0.5,9
0.5054,0.0,0.0,0.502,9
0.4941,0.0,0.0,0.5,10
0.5169,0.0,0.0,0.5023,10
0.4869,0.0,0.0,0.4979,10
0.5034,0.5034,1.0,0.498,10
0.5054,0.0,0.0,0.502,10
