acc,precision,recall,auroc,repeat
0.705,0.7229,0.6759,0.7806,1
0.7089,0.721,0.7059,0.7797,1
0.6938,0.703,0.6782,0.7697,1
0.7049,0.707,0.6888,0.7933,1
0.704,0.7168,0.6859,0.781,1
0.7114,0.6994,0.7058,0.7965,2
0.6865,0.7056,0.6673,0.7681,2
0.7022,0.7095,0.6739,0.7899,2
0.6929,0.6952,0.6998,0.7714,2
0.701,0.6934,0.6829,0.7749,2
0.715,0.7411,0.683,0.7913,3
0.6992,0.7086,0.6835,0.7785,3
0.6983,0.7215,0.6574,0.785,3
0.6933,0.6787,0.6933,0.7811,3
0.7193,0.7432,0.6922,0.7963,3
0.7005,0.7209,0.6609,0.7819,4
0.6995,0.7003,0.6861,0.7828,4
0.7144,0.7335,0.6839,0.7919,4
0.7127,0.7219,0.6593,0.7903,4
0.7123,0.7424,0.6725,0.7921,4
0.6965,0.7044,0.6842,0.7739,5
0.7029,0.7061,0.6841,0.7847,5
0.702,0.7199,0.6726,0.7845,5
0.7097,0.6949,0.7113,0.7953,5
0.7042,0.7314,0.6693,0.7854,5
0.7113,0.7329,0.6709,0.7849,6
0.7123,0.7129,0.7003,0.7972,6
0.707,0.7219,0.6846,0.7917,6
0.7197,0.7165,0.6947,0.793,6
0.7106,0.7193,0.715,0.7944,6
0.7072,0.7184,0.6882,0.7797,7
0.7052,0.7135,0.6753,0.7933,7
0.6976,0.706,0.6892,0.7807,7
0.6896,0.6867,0.6572,0.7748,7
0.7022,0.728,0.6699,0.7877,7
0.7116,0.7369,0.6642,0.7981,8
0.7116,0.7158,0.6915,0.7983,8
0.7157,0.7217,0.7131,0.7947,8
0.706,0.7166,0.6475,0.7913,8
0.7156,0.7348,0.6974,0.8017,8
0.7005,0.7105,0.6835,0.7801,9
0.7186,0.7284,0.6875,0.8003,9
0.6996,0.7124,0.6812,0.7834,9
0.708,0.7007,0.6905,0.7918,9
0.7176,0.7386,0.6961,0.8027,9
0.7046,0.7296,0.6562,0.7853,10
0.7213,0.7287,0.6956,0.8033,10
