acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.4572,1
0.5169,0.0,0.0,0.4487,1
0.4869,0.0,0.0,0.4357,1
0.5034,0.5034,1.0,0.4492,1
0.4946,0.4946,1.0,0.4482,1
0.4941,0.0,0.0,0.448,2
0.4831,0.4831,1.0,0.446,2
0.5131,0.5131,1.0,0.4499,2
0.5034,0.5034,1.0,0.4615,2
0.5054,0.0,0.0,0.4441,2
0.4831,0.4831,1.0,0.4563,3
0.5131,0.5131,1.0,0.4377,3
0.5034,0.5034,1.0,0.4485,3
0.5054,0.0,0.0,0.447,3
0.4941,0.0,0.0,0.4491,3
0.5169,0.0,0.0,0.4483,4
0.5131,0.5131,1.0,0.4269,4
0.5034,0.5034,1.0,0.4525,4
0.4946,0.4946,1.0,0.4389,4
0.5059,0.5059,1.0,0.4523,4
0.4831,0.4831,1.0,0.4426,5
0.4869,0.0,0.0,0.4476,5
0.4966,0.0,0.0,0.4512,5
0.4946,0.4946,1.0,0.4461,5
0.4831,0.4831,1.0,0.4523,5
0.5094,0.5113,0.9895,0.4472,6
0.4966,0.0,0.0,0.4547,6
0.5054,0.0,0.0,0.4602,6
0.4941,0.0,0.0,0.4602,6
0.5169,0.0,0.0,0.4544,6
0.5131,0.5131,1.0,0.4326,7
0.5034,0.5034,1.0,0.4463,7
0.5054,0.0,0.0,0.4462,7
0.4941,0.0,0.0,0.4652,7
0.5169,0.0,0.0,0.4667,7
0.4869,0.0,0.0,0.4453,8
0.4966,0.0,0.0,0.4737,8
0.4946,0.4946,1.0,0.4469,8
0.4941,0.0,0.0,0.4364,8
0.4831,0.4831,1.0,0.4447,8
0.4869,0.0,0.0,0.4232,9
0.5054,0.0,0.0,0.4308,9
0.4941,0.0,0.0,0.4622,9
0.4831,0.4831,1.0,0.4649,9
0.4869,0.0,0.0,0.4516,9
0.5034,0.5034,1.0,0.4593,10
0.5054,0.0,0.0,0.4437,10
