acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.4771,1
0.4831,0.4831,1.0,0.4978,1
0.4869,0.0,0.0,0.4997,1
0.4966,0.0,0.0,0.5009,1
0.4946,0.4946,1.0,0.4878,1
0.5059,0.5059,1.0,0.5156,2
0.4831,0.4831,1.0,0.5003,2
0.4869,0.0,0.0,0.491,2
0.5034,0.5034,1.0,0.486,2
0.4946,0.4946,1.0,0.4871,2
0.5059,0.5059,1.0,0.4883,3
0.5169,0.0,0.0,0.5031,3
0.4869,0.0,0.0,0.4809,3
0.4966,0.0,0.0,0.4851,3
0.4946,0.4946,1.0,0.499,3
0.4941,0.0,0.0,0.499,4
0.4831,0.4831,1.0,0.5,4
0.4869,0.0,0.0,0.4899,4
0.5034,0.5034,1.0,0.4877,4
0.4946,0.4946,1.0,0.4749,4
0.5059,0.5059,1.0,0.4981,5
0.4831,0.4831,1.0,0.4946,5
0.4869,0.0,0.0,0.5071,5
0.4966,0.0,0.0,0.4984,5
0.5054,0.0,0.0,0.4826,5
0.4941,0.0,0.0,0.4993,6
0.4831,0.4831,1.0,0.4776,6
0.5131,0.5131,1.0,0.477,6
0.5034,0.5034,1.0,0.4964,6
0.4946,0.4946,1.0,0.4748,6
0.5059,0.5059,1.0,0.4965,7
0.5169,0.0,0.0,0.4867,7
0.4869,0.0,0.0,0.497,7
0.4966,0.0,0.0,0.4936,7
0.4946,0.4946,1.0,0.496,7
0.4941,0.0,0.0,0.4769,8
0.5169,0.0,0.0,0.4881,8
0.5131,0.5131,1.0,0.4722,8
0.5034,0.5034,1.0,0.5007,8
0.4946,0.4946,1.0,0.4502,8
0.4941,0.0,0.0,0.4844,9
0.4831,0.4831,1.0,0.4877,9
0.4869,0.0,0.0,0.4484,9
0.4966,0.0,0.0,0.4943,9
0.4946,0.4946,1.0,0.4908,9
0.5059,0.5059,1.0,0.4936,10
0.4831,0.4831,1.0,0.4824,10
0.4869,0.0,0.0,0.4926,10
0.4966,0.0,0.0,0.4887,10
0.5054,0.0,0.0,0.485,10
