acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.4719,1
0.5169,0.0,0.0,0.517,1
0.5131,0.5131,1.0,0.4748,1
0.4966,0.0,0.0,0.4984,1
0.4946,0.4946,1.0,0.4898,1
0.5059,0.5059,1.0,0.5031,2
0.4831,0.4831,1.0,0.4747,2
0.4869,0.0,0.0,0.4916,2
0.5034,0.5034,1.0,0.4961,2
0.5054,0.0,0.0,0.477,2
0.5059,0.5059,1.0,0.4641,3
0.5169,0.0,0.0,0.4973,3
0.5131,0.5131,1.0,0.4542,3
0.5034,0.5034,1.0,0.4761,3
0.4946,0.4946,1.0,0.4819,3
0.4941,0.0,0.0,0.5165,4
0.4831,0.4831,1.0,0.4917,4
0.4869,0.0,0.0,0.4807,4
0.4966,0.0,0.0,0.4629,4
0.4946,0.4946,1.0,0.4705,4
0.5059,0.5059,1.0,0.4928,5
0.5169,0.0,0.0,0.4987,5
0.5131,0.5131,1.0,0.4825,5
0.5034,0.5034,1.0,0.4775,5
0.5054,0.0,0.0,0.4887,5
0.4941,0.0,0.0,0.4743,6
0.5169,0.0,0.0,0.4981,6
0.5131,0.5131,1.0,0.4669,6
0.4966,0.0,0.0,0.4778,6
0.4946,0.4946,1.0,0.4564,6
0.5059,0.5059,1.0,0.4729,7
0.4831,0.4831,1.0,0.4737,7
0.5131,0.5131,1.0,0.4399,7
0.5034,0.5034,1.0,0.4703,7
0.4946,0.4946,1.0,0.4815,7
0.5059,0.5059,1.0,0.4724,8
0.4831,0.4831,1.0,0.463,8
0.4869,0.0,0.0,0.4804,8
0.4966,0.0,0.0,0.4866,8
0.4946,0.4946,1.0,0.4595,8
0.4941,0.0,0.0,0.4601,9
0.5169,0.0,0.0,0.4575,9
0.4869,0.0,0.0,0.4692,9
0.5034,0.5034,1.0,0.455,9
0.5054,0.0,0.0,0.4378,9
0.4941,0.0,0.0,0.4698,10
0.4831,0.4831,1.0,0.4963,10
0.5131,0.5131,1.0,0.4767,10
0.5034,0.5034,1.0,0.4653,10
0.5054,0.0,0.0,0.4695,10
