acc,precision,recall,auroc,repeat
0.7713711,0.7732981,0.7753479,0.84834975,1
0.7623198,0.7414248,0.78001386,0.84904873,1
0.7733065,0.78580993,0.7673203,0.85064685,1
0.7572099,0.7677464,0.7421719,0.83846533,1
0.75955737,0.7718795,0.72949153,0.8464672,1
0.7512571,0.8372911,0.63088137,0.8466528,2
0.74857527,0.76971114,0.6842471,0.83621585,2
0.7377599,0.7841945,0.6745098,0.8292929,2
0.7340711,0.7800633,0.6568954,0.8295676,2
0.7434608,0.8003384,0.64135593,0.83116126,2
0.7368421,0.743607,0.73227304,0.8259064,3
0.7388535,0.73847264,0.7113116,0.82286227,3
0.7367539,0.7481679,0.7339869,0.81971097,3
0.72568744,0.7386443,0.7041972,0.8150346,3
0.72803485,0.7270862,0.720678,0.8150842,3
0.71538717,0.71682,0.72299534,0.7969607,4
0.7073416,0.68908125,0.7182512,0.7969545,4
0.71327966,0.7440347,0.672549,0.8050692,4
0.6837693,0.6772554,0.7101932,0.766449,4
0.7045607,0.70067567,0.70305085,0.7888295,4
0.699296,0.7133891,0.6779324,0.7651967,5
0.68990946,0.6733871,0.69535047,0.76281154,5
0.6773977,0.69425446,0.6633987,0.75957996,5
0.6794098,0.6857532,0.67021984,0.75747156,5
0.6619718,0.6751688,0.6101695,0.74399894,5
0.6862219,0.72192097,0.61762756,0.75380033,6
0.70901775,0.6926698,0.7147814,0.78475463,6
0.65124077,0.72032374,0.5235294,0.7328134,6
0.66733736,0.703763,0.5856096,0.7338058,6
0.6723675,0.69362366,0.60474575,0.7572607,6
0.6627556,0.696638,0.59045726,0.7306498,7
0.6667784,0.67501956,0.5981957,0.7267916,7
0.638833,0.7064722,0.50653595,0.71845233,7
0.667002,0.6978193,0.5969354,0.7365701,7
0.66364855,0.7030981,0.55389833,0.7411355,7
0.66543746,0.6928302,0.6083499,0.7343607,8
0.6607442,0.66640806,0.5961138,0.7280722,8
0.674715,0.6467505,0.80653596,0.7516106,8
0.64285713,0.7449438,0.44170552,0.73108184,8
0.6616365,0.67978394,0.59728813,0.74276316,8
0.6523634,0.6103835,0.8648111,0.711748,9
0.64867586,0.6838167,0.5072866,0.7186117,9
0.62374246,0.680212,0.503268,0.6830301,9
0.6492287,0.69731134,0.5356429,0.7021576,9
0.6472166,0.66906476,0.5674576,0.721145,9
0.6563862,0.6852986,0.593108,0.71357083,10
0.6490111,0.6490166,0.5954198,0.7022685,10
0.7012072,0.68393785,0.7764706,0.7568821,10
0.65023476,0.6994774,0.53497666,0.7224882,10
0.6331321,0.6851312,0.4779661,0.67502177,10
