acc,precision,recall,auroc,repeat
0.5059,0.5059,1.0,0.5,1
0.4831,0.4831,1.0,0.5,1
0.5131,0.5131,1.0,0.5,1
0.4966,0.0,0.0,0.5,1
0.5054,0.0,0.0,0.5,1
0.5059,0.5059,1.0,0.5,2
0.4831,0.4831,1.0,0.5,2
0.5131,0.5131,1.0,0.5,2
0.5034,0.5034,1.0,0.5,2
0.4946,0.4946,1.0,0.5,2
0.4941,0.0,0.0,0.5,3
0.4831,0.4831,1.0,0.5,3
0.5131,0.5131,1.0,0.5,3
0.5034,0.5034,1.0,0.5,3
0.4946,0.4946,1.0,0.5,3
0.5059,0.5059,1.0,0.5,4
0.5169,0.0,0.0,0.5,4
0.4869,0.0,0.0,0.5,4
0.4966,0.0,0.0,0.5,4
0.4946,0.4946,1.0,0.5,4
0.4941,0.0,0.0,0.5,5
0.4831,0.4831,1.0,0.5,5
0.4869,0.0,0.0,0.5,5
0.4966,0.0,0.0,0.5,5
0.4946,0.4946,1.0,0.5,5
0.4941,0.0,0.0,0.5,6
0.4831,0.4831,1.0,0.5,6
0.4869,0.0,0.0,0.5,6
0.4966,0.0,0.0,0.5,6
0.5054,0.0,0.0,0.5,6
0.4941,0.0,0.0,0.5,7
0.4831,0.4831,1.0,0.5,7
0.4869,0.0,0.0,0.5,7
0.5034,0.5034,1.0,0.5,7
0.4946,0.4946,1.0,0.5,7
0.5059,0.5059,1.0,0.5,8
0.5169,0.0,0.0,0.5,8
0.4869,0.0,0.0,0.5,8
0.5034,0.5034,1.0,0.5,8
0.5054,0.0,0.0,0.5,8
0.5059,0.5059,1.0,0.5,9
0.4831,0.4831,1.0,0.5,9
0.5131,0.5131,1.0,0.5,9
0.4966,0.0,0.0,0.5,9
0.5054,0.0,0.0,0.5,9
0.4941,0.0,0.0,0.5,10
0.4831,0.4831,1.0,0.5,10
0.5131,0.5131,1.0,0.5,10
0.4966,0.0,0.0,0.5,10
0.4946,0.4946,1.0,0.5,10
