acc,precision,recall,auroc,repeat
0.6959,0.6985,0.7018,0.7618,1
0.653,0.6218,0.7189,0.7255,1
0.6965,0.6891,0.7444,0.768,1
0.5054,0.0,0.0,0.498,1
0.4941,0.0,0.0,0.495,1
0.5169,0.0,0.0,0.5069,2
0.5131,0.5131,1.0,0.4963,2
0.5034,0.5034,1.0,0.4848,2
0.5054,0.0,0.0,0.5004,2
0.5059,0.5059,1.0,0.5101,2
0.4831,0.4831,1.0,0.5,3
0.5131,0.5131,1.0,0.4961,3
0.4946,0.4946,1.0,0.5153,3
0.4941,0.0,0.0,0.4997,3
0.4831,0.4831,1.0,0.5003,3
0.4869,0.0,0.0,0.4886,4
0.4966,0.0,0.0,0.5,4
0.4946,0.4946,1.0,0.5,4
0.4941,0.0,0.0,0.5,4
0.5169,0.0,0.0,0.5,4
0.4869,0.0,0.0,0.485,5
0.4966,0.0,0.0,0.5,5
0.5054,0.0,0.0,0.5,5
0.4941,0.0,0.0,0.5,5
0.5169,0.0,0.0,0.5,5
0.4869,0.0,0.0,0.5,6
0.5034,0.5034,1.0,0.5,6
0.5054,0.0,0.0,0.4993,6
0.5059,0.5059,1.0,0.5,6
0.4831,0.4831,1.0,0.5,6
0.4889,0.8,0.0052,0.5019,7
0.4966,0.0,0.0,0.5,7
0.5054,0.0,0.0,0.501,7
0.5059,0.5059,1.0,0.5,7
0.5169,0.0,0.0,0.5,7
0.4869,0.0,0.0,0.5,8
0.5034,0.5034,1.0,0.5,8
0.4941,0.0,0.0,0.4912,8
0.5169,0.0,0.0,0.5285,8
0.5131,0.5131,1.0,0.5107,8
0.4966,0.0,0.0,0.4981,9
0.4946,0.4946,1.0,0.4993,9
0.4941,0.0,0.0,0.4951,9
0.5169,0.0,0.0,0.5,9
0.4869,0.0,0.0,0.5,9
0.5034,0.5034,1.0,0.5,10
0.5644,0.5492,0.6658,0.5919,10
